int, -11, -1, 1
jsdh_js2&, -51, -2, 1
:=, -26, -1, 1
21, -61, -1, 1
,, -76, -1, 1
hola&, -51, -2, 1
;, -75, -1, 1
real, -12, -1, 2
;, -75, -1, 2
bool, -14, -1, 3
verdad$, -54, -2, 3
:=, -26, -1, 3
true, -64, -1, 3
;, -75, -1, 3
string, -13, -1, 4
:=, -26, -1, 4
"hola mundo", -63, -1, 4
;, -75, -1, 4
begin, -2, -1, 7
program, -1, -1, 7
programa?, -55, -2, 7
;, -75, -1, 7
jsdh_js2&, -51, -2, 8
-, -25, -1, 8
2, -61, -1, 8
;, -75, -1, 8
hola&, -51, -2, 9
+, -24, -1, 9
32, -61, -1, 9
;, -75, -1, 9
/, -22, -1, 10
21.32, -62, -1, 10
;, -75, -1, 10
*, -21, -1, 11
-23.32, -62, -1, 11
;, -75, -1, 11
repeat, -9, -1, 12
(, -73, -1, 12
verdad$, -54, -2, 12
!=, -36, -1, 12
true, -64, -1, 12
), -74, -1, 12
if, -6, -1, 13
(, -73, -1, 13
hola&, -51, -2, 13
==, -35, -1, 13
32, -61, -1, 13
&&, -41, -1, 13
>=, -34, -1, 13
29.23, -62, -1, 13
), -74, -1, 13
verdad$, -54, -2, 14
:=, -26, -1, 14
false, -65, -1, 14
;, -75, -1, 14
+, -24, -1, 16
10, -61, -1, 16
;, -75, -1, 16
program, -1, -1, 18
begin, -2, -1, 19
end, -3, -1, 20
read, -5, -1, 21
write, -4, -1, 22
if, -6, -1, 23
else, -7, -1, 24
while, -8, -1, 25
repeat, -9, -1, 26
until, -10, -1, 27
int, -11, -1, 28
real, -12, -1, 29
string, -13, -1, 30
bool, -14, -1, 31
var, -15, -1, 32
then, -16, -1, 33
do, -17, -1, 34
end, -3, -1, 36
program, -1, -1, 36
;, -75, -1, 36
kdjf3i$, -54, -2, 41
kdsjfgl$, -54, -2, 41
4, -61, -1, 41
/, -22, -1, 41
4, -61, -1, 41
5, -61, -1, 41
3, -61, -1, 42
+, -24, -1, 42
3, -61, -1, 42
